ID	0states	1states	EstimatedD	NoPhylogeneticStructure	BrownianPhylogeneticStructure
GB403	17	3	-1.740249	0	0.8816
GB408	1	36	3.464355	0.7257	0.2019
GB410	18	18	-0.1358111	0	0.6595
GB415	26	10	0.5845869	0.0324	0.052
GB421	15	5	-0.3923423	0.001	0.7669
GB422	14	5	-0.7388343	5e-04	0.8459
GB431	36	1	3.533937	0.7274	0.1013
GB432	8	29	0.2162021	0.0021	0.2964
GB433	10	26	-0.8538245	0	0.9231
GB519	27	7	0.8274559	0.2235	0.0187
GB520	34	2	0.5774961	0.3	0.2667
GB521	33	3	0.5545529	0.1827	0.2143
GB522	1	29	0.006342418	0.2736	0.6195
TE002	2	33	1.686727	0.7697	0.0389
TE003	18	16	0.02049315	1e-04	0.4652
TE004	29	5	-0.8334156	0	0.975
TE005	27	9	-0.218083	0	0.7506
TE006	21	10	0.0149282	3e-04	0.495
TE007	31	4	0.2020877	0.0268	0.3952
TE008	4	33	0.4269523	0.0572	0.2399
TE014	8	15	0.8641618	0.3037	0.0261
TE016	1	36	3.524643	0.7267	0.1996
TE018	13	22	0.05765047	1e-04	0.4159
TE019	10	26	-0.6267203	0	0.9586
TE027	23	11	0.6705904	0.0706	0.0249
TE031	14	22	0.2517379	6e-04	0.215
TE037	15	21	0.4346587	0.005	0.087
TE038	12	24	-0.4281395	0	0.8832
TE039	10	26	0.5615693	0.0271	0.0599
TE046	21	12	0.4600417	0.0105	0.0933
TE050	30	2	1.9654	0.8802	0.0209
TE051	10	27	0.3848816	0.0042	0.1531
TE052	19	17	-0.7344718	0	0.9753
TE054	4	28	0.6359914	0.1416	0.1319
TE059	32	4	0.9635006	0.4414	0.0343
TE062	4	17	-0.4676525	0.0067	0.6921
TE066	18	18	-0.7432493	0	0.948
TE078	34	2	0.1491683	0.167	0.4447
TS001	3	32	0.4610384	0.1298	0.2588
TS002	25	9	-0.02034387	3e-04	0.5469
TS006	12	24	-0.3947529	0	0.8529
TS008	36	1	2.781226	0.6744	0.196
TS009	5	12	-0.06436448	0.0165	0.5535
TS010	10	6	0.5088281	0.1441	0.2277
TS079	27	4	0.4435946	0.0925	0.2391
TS080	18	12	-0.4700667	0	0.9049	
