FeatureID	State0	State1	EstimatedD	NoPhylogeneticStructure	BrownianPhylogeneticStructure
GB160	15	15	1.293715	0.9202	0
GB166	13	14	0.6920494	0.1035	0.023
GB167	18	13	0.937057	0.358	0.0028
GB184	18	8	1.104428	0.6224	0.0018
GB185	13	12	1.26624	0.8464	1e-04
GB187	19	9	0.4758279	0.0334	0.1084
GB188	22	7	1.300756	0.8914	3e-04
GB196	13	16	1.357074	0.96	0
GB197	13	12	1.045338	0.529	0.0023
GB204	19	10	0.8960314	0.3085	0.0069
GB250	16	11	1.325562	0.9187	0
GB252	20	5	0.8661717	0.3263	0.0544
GB253	23	8	1.187894	0.7666	5e-04
GB254	13	9	0.6661079	0.1441	0.0604
GB256	16	11	1.258068	0.8847	1e-04
GB257	15	12	0.8876794	0.2953	0.0118
GB263	13	10	0.91216	0.3428	0.0119
GB264	15	13	0.8724661	0.2871	0.0057
GB266	19	13	0.7352095	0.12	0.0119
GB273	17	7	1.134471	0.6512	0.0019
GB275	17	12	1.301424	0.9169	2e-04
GB276	17	11	0.9055685	0.3235	0.0026
GB286	17	12	1.310794	0.9326	0
GB296	18	14	1.314489	0.9505	0
GB298	13	14	0.7359058	0.1464	0.0204
GB299	21	9	0.9453936	0.3741	0.0041
GB301	17	12	1.212747	0.8184	0
GB304	14	10	1.134791	0.6638	0.0014
GB305	21	8	1.144672	0.6873	5e-04
GB306	21	8	0.7102715	0.1324	0.0433
GB309	20	11	0.7780854	0.1632	0.0098
GB313	19	11	0.8796448	0.2668	0.0036
GB316	17	10	1.141501	0.6962	8e-04
GB318	18	15	0.8784659	0.2515	0.0029
GB322	13	12	0.9541146	0.3956	0.0068
GB323	17	11	1.324324	0.9189	0
GB324	19	9	0.7746981	0.1848	0.0185
GB325	16	8	0.8450916	0.2571	0.0198
GB326	14	14	1.360956	0.9525	0
GB327	19	9	0.2330993	0.004	0.2684
GB329	14	14	0.9102143	0.3264	0.0032
GB400	18	8	0.9218803	0.3582	0.0094
GB401	21	11	1.038194	0.539	9e-04
GB403	23	5	0.7942395	0.2451	0.0653
GB408	13	13	0.8260823	0.2288	0.0139
GB410	23	3	1.0724	0.5205	0.0618
GB415	22	6	0.8446563	0.2752	0.0321
GB421	18	8	0.6613884	0.0984	0.0631
GB422	24	7	1.241355	0.82	3e-04
GB431	18	9	1.331883	0.9166	1e-04
GB432	20	10	0.6160796	0.059	0.0587
GB433	15	16	0.6233517	0.0444	0.0291
GB519	17	8	1.153376	0.6875	0.0013
GB520	14	14	0.6486647	0.0927	0.0236
GB521	20	13	1.161584	0.7639	0
GB522	16	12	0.9942832	0.4581	0.0016
TE002	16	9	0.5883974	0.0757	0.0831
TE003	12	12	0.5464238	0.0537	0.0701
TE004	11	19	1.087436	0.6128	4e-04
TE005	15	15	0.7985436	0.1715	0.0098
TE006	17	13	1.064869	0.5825	5e-04
TE007	11	16	1.401359	0.9727	0
TE008	13	19	1.198101	0.8262	0
TE014	21	9	1.224983	0.8231	4e-04
TE016	23	8	1.180926	0.7592	5e-04
TE018	12	14	1.011151	0.4899	0.0029
TE019	21	7	1.361442	0.9326	1e-04
TE027	20	9	0.9443072	0.3745	0.0064
TE031	13	13	1.197212	0.7809	2e-04
TE037	21	10	0.7372913	0.1319	0.0235
TE038	20	9	1.127599	0.6852	0.0014
TE039	13	14	0.9671558	0.4181	0.0049
TE046	18	13	1.197378	0.8033	1e-04
TE050	18	10	0.9719498	0.4196	0.0027
TE051	19	14	1.27867	0.9224	0
TE052	17	6	0.5836174	0.1016	0.1135
TE054	16	6	0.8702561	0.3147	0.0344
TE055	15	14	0.8742297	0.2719	0.0027
TE059	15	13	1.221117	0.8188	0
TE062	14	14	1.013538	0.4947	0.0022
TE066	21	8	1.464326	0.9877	0
TE078	20	12	1.241999	0.8598	1e-04
TS001	21	9	0.9451089	0.3791	0.0044
TS002	18	10	0.774494	0.1752	0.0167
TS006	15	13	1.15658	0.7291	4e-04
TS009	15	13	0.689339	0.1037	0.029
TS010	18	10	0.9044553	0.3155	0.0087
TS079	22	10	1.182297	0.78	3e-04
TS080	22	11	1.12409	0.7001	1e-04
GB022	23	7	0.8458595	0.2593	0.0203
GB023	16	10	0.6216065	0.0768	0.0463
GB026	18	13	1.222103	0.8454	0
GB027	17	18	1.272982	0.9364	0
GB028	18	13	1.153575	0.7451	1e-04
GB030	17	12	0.9006028	0.3169	0.0043
GB031	16	12	1.036618	0.5282	0.0021
GB035	12	12	0.8032921	0.2168	0.0209
GB037	13	12	0.9420485	0.3667	0.0086
GB039	15	12	0.9360852	0.3642	0.0026
GB043	19	11	1.140046	0.718	0
GB044	16	10	1.002861	0.4688	0.0045
GB046	17	14	0.7658267	0.1378	0.0079
GB047	16	13	1.288877	0.9193	0
GB048	15	10	1.401916	0.9596	0
GB049	21	9	1.149383	0.7178	4e-04
GB057	17	12	0.6644424	0.0755	0.0356
GB059	18	12	0.8717459	0.265	0.0048
GB068	18	9	0.842893	0.2612	0.0123
GB069	18	14	0.9769727	0.4285	5e-04
GB070	18	14	1.122984	0.6961	2e-04
GB071	17	9	0.8290204	0.2507	0.014
GB075	10	20	1.183896	0.7685	1e-04
GB082	15	12	0.7231652	0.1266	0.0266
GB083	17	11	1.031305	0.5257	0.0025
GB084	20	9	0.9754698	0.4232	0.0035
GB086	22	10	1.196009	0.8094	3e-04
GB089	22	10	1.110375	0.6729	7e-04
GB091	19	3	0.03598681	0.0379	0.4799
GB095	19	12	0.8736399	0.2823	0.004
GB105	15	14	0.8527639	0.2478	0.0062
GB107	20	15	0.849207	0.2115	0.004
GB108	19	8	1.186313	0.736	0.0012
GB111	17	13	1.138992	0.7116	4e-04
GB114	19	10	0.9278449	0.3523	0.0064
GB115	19	10	1.124194	0.6803	3e-04
GB117	15	10	1.208973	0.7905	4e-04
GB118	17	11	0.6489393	0.0772	0.0297
GB119	21	5	0.3753389	0.0418	0.2341
GB120	18	12	1.100545	0.6468	4e-04
GB121	19	10	1.081953	0.6023	0.0013
GB122	14	12	1.024266	0.5031	0.0019
GB123	20	8	0.4252294	0.0217	0.1562
GB126	13	12	1.369367	0.954	0
GB127	16	12	0.5652139	0.0487	0.0405
GB132	17	14	1.338272	0.9533	0
GB134	17	9	0.8249721	0.2287	0.0142
GB135	22	8	0.8387045	0.2485	0.0201
GB136	23	10	1.171148	0.7732	2e-04
GB137	18	10	1.181663	0.756	3e-04
GB138	13	14	0.9617861	0.4118	0.0026
GB139	19	12	0.91161	0.324	0.0031
GB140	19	12	1.132355	0.7072	3e-04
GB146	15	14	0.746143	0.1441	0.0179
GB147	17	8	1.060974	0.5491	0.0065
GB150	22	12	0.5107342	0.0163	0.0715
GB151	15	12	0.4714201	0.0246	0.0996
GB152	20	10	0.8527853	0.2431	0.0092
GB156	13	14	1.222369	0.809	3e-04
GB158	16	11	0.9622051	0.4114	0.0035
GB159	15	12	1.281211	0.8812	0
GB160	22	10	0.8261192	0.2055	0.0142
GB166	18	9	1.166738	0.7351	6e-04
GB167	17	13	1.140787	0.7233	4e-04
GB184	19	10	1.054692	0.5583	0.0015
GB185	18	8	0.8292072	0.2345	0.0284
GB187	19	11	1.296403	0.9163	0
GB188	18	12	1.23241	0.8419	2e-04
GB196	20	11	0.8589016	0.2395	0.0065
GB197	12	14	1.219151	0.8149	3e-04
GB204	20	10	1.271542	0.8995	2e-04
GB250	11	14	0.970091	0.4258	0.0041
GB252	17	10	1.275966	0.883	1e-04
GB253	15	15	1.061575	0.5696	9e-04
GB254	19	8	0.9972485	0.4615	0.0057
GB256	20	11	1.15968	0.7535	2e-04
GB257	16	13	1.1861	0.771	1e-04
GB263	20	11	0.926612	0.3469	0.0026
GB264	18	10	1.186143	0.7751	3e-04
GB266	19	11	0.8810227	0.2835	0.0086
GB273	19	12	0.3313714	0.0049	0.1893
GB275	13	11	0.8150489	0.2392	0.0128
GB276	14	16	0.9097024	0.3264	0.0028
GB286	19	9	0.8767825	0.2947	0.0111
GB296	15	15	0.9915356	0.4517	3e-04
GB298	19	10	1.176649	0.7517	3e-04
GB299	15	11	1.227492	0.8112	2e-04
GB301	18	11	0.8955933	0.3073	0.0057
GB304	17	15	0.7534309	0.132	0.0065
GB305	14	15	1.020356	0.5043	8e-04
GB306	13	13	0.8897966	0.2942	0.0074
GB309	15	15	1.002691	0.4804	0.0017
GB313	17	12	0.981934	0.4365	0.0016
GB316	13	14	1.075318	0.5859	7e-04
GB318	15	15	1.173472	0.7777	0
GB322	18	12	1.094705	0.6439	0
GB323	18	12	0.975667	0.4242	0.0019
GB324	19	8	1.327418	0.9011	0
GB325	20	10	1.439681	0.9883	0
GB326	20	11	1.226262	0.8438	0
GB327	20	10	1.216432	0.8245	3e-04
GB329	14	14	1.025353	0.5176	0.001
GB400	20	10	1.349936	0.9511	0
GB401	16	7	0.9726174	0.424	0.0128
GB403	20	11	1.070125	0.5956	8e-04
GB408	18	8	0.6290711	0.0895	0.0647
GB410	13	10	0.7187877	0.155	0.037
GB415	15	15	0.8628812	0.2429	0.0059
GB421	18	12	0.7975851	0.1774	0.0116
GB422	13	9	0.8081688	0.2373	0.0304
GB431	16	13	1.103543	0.6501	5e-04
GB432	19	11	0.8346598	0.2339	0.0098
GB433	16	12	1.197353	0.7822	3e-04
GB519	16	14	0.9077986	0.3154	0.0041
GB520	23	3	1.491329	0.7866	0.016
GB521	11	16	1.09945	0.6338	6e-04
GB522	14	12	1.206917	0.7853	2e-04
TE002	15	12	1.206237	0.8017	2e-04
TE003	20	11	1.011315	0.4892	0.0019
TE004	18	11	0.9689174	0.4122	0.0035
TE005	17	13	1.064069	0.5842	8e-04
TE006	21	8	0.8884801	0.3108	0.0114
TE007	18	11	1.039593	0.5351	9e-04
TE008	16	10	0.5675884	0.0548	0.0872
TE014	20	11	1.238803	0.8571	1e-04
TE016	14	10	0.790262	0.2089	0.0206
TE018	20	11	0.8045605	0.19	0.0089
TE019	20	10	1.045741	0.5408	7e-04
TE027	26	8	0.9691582	0.4092	0.0047
TE031	23	6	0.8142997	0.2535	0.0413
TE037	17	12	0.5702212	0.0405	0.0564
TE038	18	12	0.8864083	0.285	0.0042
TE039	18	10	1.061709	0.5664	0.001
TE046	15	8	1.006792	0.4667	0.0082
TE050	14	15	0.9457761	0.3737	0.0013
TE051	21	11	0.9364243	0.3671	0.0028
TE052	18	14	0.9607638	0.3962	0.0015
TE054	18	8	1.31655	0.8703	1e-04
TE059	17	9	0.9486152	0.3861	0.0049
TE062	16	11	1.293923	0.8855	1e-04
TE066	14	16	1.134836	0.7129	0
TE078	15	14	1.103914	0.6531	0
TS001	20	9	1.445971	0.9865	0
TS002	18	11	1.390219	0.9742	0
TS006	20	11	1.291597	0.9114	0
TS008	16	11	0.9995918	0.47	0.0021
TS009	21	9	1.054073	0.5554	0.0026
TS010	20	6	0.9844473	0.4387	0.0146
TS079	17	16	1.014044	0.4987	5e-04
TS080	16	14	1.301284	0.9104	0	
