Estimated D per part of speech
ID;Feature;part of speech;EstimatedD
GB028;Is there an inclusive/exclusive distinction?;pronoun;-0.008334775
GB030;Is there a gender distinction in independent 3rd person pronouns?;pronoun;-5.912093
GB031;Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun system?;pronoun;0.951841
GB071;Are there morphological cases for pronominal core arguments (i.e. S/A/P)?;pronoun;0.3766771
GB167;Is there a logophoric pronoun?;pronoun;-2.451654
GB196;Is there a male/female distinction in 2nd person independent pronouns?;pronoun;-5.275838
GB196;Is there a male/female distinction in 2nd person independent pronouns?;pronoun;-5.275838
GB197;Is there a male/female distinction in 1st person independent pronouns?;pronoun;-5.955821
GB305;Is there a phonologically independent reflexive pronoun?;pronoun;-3.34824
GB306;Is there a phonologically independent non-bipartite reciprocal pronoun?;pronoun;-0.5705518
GB313;Are there special adnominal possessive pronouns that are not formed by an otherwise regular process?;pronoun;1.058335
GB408;Is there any accusative alignment of flagging?;pronoun;3.108626
GB410;Is there any neutral alignment of flagging?;pronoun;0.1084014
GB415;Is there a politeness distinction in 2nd person forms?;pronoun;0.5812276
TE018;Is there a mi-ti opposition in 1 vs. 2 SG personal pronouns?;pronoun;0.05389887
TE019;Is the secondary oblique stem of personal pronouns formed with a dental nasal?;pronoun;-0.6421335
TE027;Can 1PL marker be augmented by a collective plural marker?;pronoun;0.6701654
GB082;Is there overt morphological marking of present tense on verbs?;verb;0.3591921
GB083;Is there overt morphological marking on the verb dedicated to past tense?;verb;0.09944844
GB084;Is there overt morphological marking on the verb dedicated to future tense?;verb;-0.2683702
GB086;Is a morphological distinction between perfective and imperfective aspect available on verbs?;verb;0.8167144
GB089;Can the S argument be indexed by a suffix/enclitic on the verb in the simple main clause?;verb;-0.661102
GB091;Can the A argument be indexed by a suffix/enclitic on the verb in the simple main clause?;verb;-0.6607051
GB095;Are variations in marking strategies of core participants based on TAM distinctions?;verb;1.375681
GB107;Can standard negation be marked by an affix  clitic or modification of the verb?;verb;-0.05456652
GB108;Is there directional or locative morphological marking on verbs?;verb;-0.4322413
GB111;Are there conjugation classes?;verb;-0.6828273
GB114;Is there a phonologically bound reflexive marker on the verb?;verb;0.1234045
GB115;Is there a phonologically bound reciprocal marker on the verb?;verb;0.09447443
GB118;Are there serial verb constructions?;verb;1.227843
GB119;Can mood be marked by an inflecting word (auxiliary verb)?;verb;0.5719992
GB120;Can aspect be marked by an inflecting word (auxiliary verb)?;verb;0.5691048
GB121;Can tense be marked by an inflecting word (auxiliary verb)?;verb;0.4346089
GB122;Is verb compounding a regular process?;verb;-0.1686978
GB123;Are there verb-adjunct (aka light-verb) constructions?;verb;-0.4330866
GB124;Is incorporation of nouns into verbs a productive intransitivizing process?;verb;5.168823
GB126;Is there an existential verb?;verb;0.1711445
GB127;Are different posture verbs used obligatorily depending on an inanimate locatum's shape or position (e.g. 'to lie' vs. 'to stand')?;verb;6.471595
GB140;Is verbal predication marked by the same negator as all of the following types of predication: locational  existential and nominal?;verb;0.2418592
GB146;Is there a morpho-syntactic distinction between predicates expressing controlled versus uncontrolled events or states?;verb;0.2737823
GB147;Is there a morphological passive marked on the lexical verb?;verb;0.07190505
GB150;Is there clause chaining?;verb;3.986299
GB152;Is there a morphologically marked distinction between simultaneous and sequential clauses?;verb;0.7164052
GB156;Is there a causative construction involving an element that is unmistakably grammaticalized from a verb for 'to say'?;verb;-6.16112
GB158;Are verbs reduplicated?;verb;1.514876
GB286;Can polar interrogation be indicated by overt verbal morphology only?;verb;0.100163
GB298;Can standard negation be marked by an inflecting word (auxiliary verb)?;verb;-0.3387222
GB309;Are there multiple past or multiple future tenses  distinguishing distance from Time of Reference?;verb;0.3077454
GB322;Is there grammatical marking of direct evidence (perceived with the senses)?;verb;0.8195296
GB323;Is there grammatical marking of indirect evidence (hearsay  inference  etc.)?;verb;1.212797
GB400;Are all person categories neutralized in some voice  tense  aspect  mood and/or negation?;verb;0.4532289
GB401;Is there a class of patient-labile verbs?;verb;0.3195013
GB403;Does the verb for 'come' have suppletive verb forms?;verb;-1.681483
GB519;Can mood be marked by a non-inflecting word (auxiliary particle)?;verb;0.8283703
GB520;Can aspect be marked by a non-inflecting word (auxiliary particle)?;verb;0.5813447
GB521;Can tense be marked by a non-inflecting word (auxiliary particle)?;verb;0.5509418
TE059;Are causative and passive expressed by a formally identical marker?;verb;0.932637
TE059;Are causative and passive expressed by a formally identical marker?;verb;0.932637
TE066;Is imperative form for 2SG identical to bare verb root?;verb;-0.7136691
