	ID	State0	State1	EstimatedD	NoPhylogeneticStructure	BrownianPhylogeneticStructure	Feature	sort
136	TE051	9	26	0.2083246	0.0016	0.3277	Is nominative case unmarked?	noun	 case
137	TE052	19	17	-0.7386002	0	0.9735	Are accusative-marked objects specific while unmarked objects are non-specific?	noun	 case
138	TE054	3	28	-0.01221564	0.0165	0.5533	Is there a distinction between marking of interrogation in polar and content questions?	interrogation
141	TE062	4	18	-0.5997072	0.0029	0.7876	Can relational adpositions (e.g. ‘under’) be derived from a place noun (e.g. ‘bottom’) and a locational suffix (e.g. at LOC)?	adposition	 flagging
142	TE066	19	18	-0.7136691	0	0.9742	Is imperative form for 2SG identical to bare verb root?	verb	 TAM	 mood
143	TE078	32	2	-0.03949507	0.0999	0.5241	Are there three laryngeal contrasts for stops?	phonology
144	TS001	2	32	-0.3797693	0.0477	0.6949	Can numeral precede the noun?	numeral
145	TS002	25	9	-0.01365451	0	0.5461	Can numeral follow the noun?	numeral
146	TS006	11	25	-0.6670131	0	0.9779	Can adnominal possessor follow the possessed noun?	attributive possession
147	TS009	5	12	-0.07627096	0.0172	0.5628	Can adnominal collective universal quantifier (‘all’) precede the noun?	UQ
149	TS079	22	4	0.08627828	0.0248	0.4848	Is there height vowel harmony?	phonology	 vowel harmony
150	TS080	15	9	-0.4182493	0	0.7945	Is there labial vowel harmony?	phonology	 vowel harmony
